pathway,set_size,overlap,p_value,example_genes,fdr
Complement,191,31,0.8843010718908376,"APOA4, C1QA, C9, CALM1, CASP3, CASP7, CD55, CPM, CSRP1, CTSD, CTSH, DOCK9",0.9999804631704005
Mitotic Spindle,186,30,0.888748203681172,"ACTN4, AKAP13, ARAP3, ARF6, ARFGEF1, ARHGEF2, ARHGEF3, BCAR1, BCR, BIN1, CAPZB, CDC42EP1",0.9999804631704005
Interferon Alpha Response,89,13,0.9007322697069288,"ELF1, HERC6, ISG20, LY6E, MX1, NUB1, PARP12, PSMA3, SAMD9, SAMD9L, SELL, SLC25A28",0.9999804631704005
Fatty Acid Metabolism,149,23,0.9090507317355191,"ACO2, ACOX1, ACSS1, ALDOA, CYP1A1, DECR1, EHHADH, FASN, GAD2, HMGCS2, HSDL2, MAOA",0.9999804631704005
heme Metabolism,179,28,0.915642783997182,"ABCG2, ADD1, ALDH1L1, AQP3, BLVRB, BSG, BTG2, CTSE, DAAM1, E2F2, ENDOD1, FBXO34",0.9999804631704005
Unfolded Protein Response,103,15,0.9163159258583541,"ATF3, ATF4, BAG3, CHAC1, DDX10, DNAJA4, DNAJB9, EDEM1, ERN1, IGFBP1, NHP2, SLC1A4",0.9999804631704005
Protein Secretion,93,13,0.9303947706302481,"ANP32E, AP1G1, ARFGEF1, ARFGEF2, DNM1L, EGFR, GLA, LAMP2, SEC24D, SGMS1, STAM, YKT6",0.9999804631704005
Interferon Gamma Response,190,28,0.9607881860915578,"AUTS2, BTG1, CASP3, CASP7, CIITA, CSF2RB, HERC6, HLA-DRB1, IL10RA, IRF4, IRF8, ISG20",0.9999804631704005
Inflammatory Response,192,28,0.9662277939952926,"ATP2A2, BDKRB1, BTG2, CCR7, CD55, CD82, CSF3, EDN1, GPR132, HPN, ICOSLG, IL10RA",0.9999804631704005
DNA Repair,138,19,0.9667053418384289,"ADCY6, AK3, BRF2, CANT1, EDF1, ELL, NFX1, PCNA, POLR1D, POLR2A, POLR3C, POLR3GL",0.9999804631704005
PI3K/AKT/mTOR  Signaling,101,13,0.9677361937445321,"ATF1, ECSIT, EGFR, FASLG, GNA14, MAPK8, PAK4, PIN1, PITX2, RAC1, RAF1, TIAM1",0.9999804631704005
Spermatogenesis,128,17,0.9730657679369605,"ACE, AGFG1, CHRM4, CNIH2, DMRT1, DPEP3, ELOVL3, HOXB1, LPIN1, NCAPH, NEFH, NPY5R",0.9999804631704005
IL-6/JAK/STAT3 Signaling,86,9,0.9913133903846443,"CD44, CD9, CSF2RB, IL17RB, IL1R2, ITGA4, MAP3K8, PTPN2, SOCS1",0.9999804631704005
E2F Targets,181,22,0.9966328904360827,"ANP32E, ASF1B, ATAD2, CTCF, DNMT1, EED, LBR, MKI67, MYBL2, NBN, NUP107, PCNA",0.9999804631704005
Allograft Rejection,188,22,0.9983745566605933,"APBB1, BCL3, CARTPT, CSK, CXCR3, DEGS1, DYRK3, EGFR, FASLG, FCGR2B, FLNA, ICOSLG",0.9999804631704005
G2-M Checkpoint,178,18,0.9997701355022005,"ARID4A, BCL3, CCND1, CTCF, E2F2, HOXC10, HSPA8, LBR, MKI67, MYBL2, PBK, PML",0.9999804631704005
Myc Targets V1,175,15,0.9999804631704005,"CCT7, DDX18, ERH, HNRNPR, HSP90AB1, LSM2, MRPL9, NHP2, PCNA, PSMA6, RAD23B, SNRPD3",0.9999804631704005
